影	picture/image/reflection/shadow	yǐng
胎	fetus/litter	tāi
悠	at ease/long (in time)/sad	yōu
稀	diluted/sparse	xī
跨	step across/step astride	kuà
羞	shy/ashamed/shame/bashful	xiū
卓	(surname)/outstanding	zhuó
瑟	(mus. instr.)	sè
逝	depart/die	shì
遥	distant/remote/far/far away	yáo
舱	cabin/the hold of a ship or airplane	cāng
辨	distinguish/recognize	biàn
斜	slanting	xié
拨	to push aside/to appropriate (money)/to move/to set aside/group/batch/to poke/to stir	bō
歼	annihilate	jiān
氛	miasma/vapor	fēn
缠	to bother/wind around/wrap round/coil/involve/annoy/tangle	chán
劫	plunder	jié
醉	intoxicated	zuì
齿	tooth	chǐ
蜜	honey	mì
郁	(surname)/elegant, dense (growth)/melancholy	yù
遣	dispatch	qiǎn
瘦	tight/thin/lean	shòu
泄	divulge/leak out	xiè
僧	monk	sēng
喂	(interjection) hello/to feed (someone or some animal)/hey/telephone greeting, to feed	wèi
岗	mound/policeman's beat	gǎng
覆	to cover/to overflow/to reply to a letter/to overturn/to capsize	fù
瞪	stare at	dèng
抚	to comfort/touch gently with hand	fǔ
钻	enter (a hole)/probe, an auger/diamond	zuān/zuàn
搭	build (scaffolding)/take (boat, train)/hang/join/match/take passage	dā
汪	(surname)/expanse of water/ooze	wāng
鼠	rat/mouse	shǔ
卵	ovum	luǎn
夸	to boast	kuā
滴	a drop/to drip	dī
棋	chess	qí
胃	stomach	wèi
傻	foolish	shǎ
佐	assist	zuǒ
旨	imperial decree/purport/aim/purpose	zhǐ
糟	dregs/to waste/spoil, to waste/spoil	zāo
於	(surname)	yū/yú
柄	authority/handle/hilt	bǐng
啸	to hiss/to whistle	xiào
喻	allegory	yù
谜	riddle	mí
亩	about 1/6 acre (M)	mǔ
畅	smooth/fluent/joyful/happy	chàng
宠	to love/to pamper/to spoil/to favor	chǒng
衬	give alms/underwear/to line/lining/contrast/assist	chèn
靖	pacify/quiet	jìng
脊	spine/back/ridge	jǐ
辐	spoke of a wheel	fú
肆	four (fraud-proof)/market	sì
蔽	to cover/to shield/to screen/to conceal	bì
拢	collect/draw near to	lǒng
趟	a time/a trip	tàng
淮	name of a river	huái
哗	crashing sound, cat-calling sound/clamor/noise, clamor/noise	huā/huá
砖	brick	zhuān
佣	hire/servant, commission (for middleman)	yōng/yòng
刹	Buddhist monastery or temple/a brief moment, to brake (car)	chà/shā
丸	pill	wán
劈	hack/chop/split open, split in two/divide	pī/pǐ
瞒	conceal from	mán
踢	kick/play (football or soccer)	tī
譬	give an example	pì
兑	to cash	duì
衫	Chinese gown (unlined)	shān
钩	entice/hook	gōu
掘	dig	jué
裹	wrap around	guǒ
盼	to hope for/to long for/to expect	pàn
舆	carriage/sedan chair/world	yú
陌	raised path/street	mò
狮	lion	shī
坎	pit/threshold	kǎn
袍	gown (lined)	páo
哨	a whistle/sentry	shào
纱	cotton yarn/muslin	shā
瓷	chinaware/porcelain	cí
猿	ape	yuán
亨	prosperous	hēng
寨	stronghold/stockade	zhài
讶	astounded	yà
斩	behead/chop	zhǎn
筋	muscle	jīn
嘻	laugh/giggle	xī
嘱	enjoin	zhǔ
庸	ordinary/to use	yōng
粘	sticky, to stick/paste	nián/zhān
匈	Hungary/thorax/chest	xiōng
蹲	crouch/squat	dūn
漆	paint/lacquer	qī
窜	flee/escape/run away/leap	cuàn
驴	donkey	lǘ/lǘ
秃	bald/blunt	tū
钓	to fish with a hook and bait	diào
铸	cast metals/to coin (money)	zhù
慨	generous/sad	kǎi
殷	dark red, (surname)/dynasty/flourishing, roll of thunder	yān/yīn/yǐn
罕	rare	hǎn
巫	witch	wū
沫	foam/suds	mò
邱	(surname)/mound	qiū
僵	rigid/deadlock/stiff (corpse), stiff (corpse)	jiāng
徽	insignia	huī
甫	just/just now	fǔ
兔	rabbit	tù
钉	nail	dīng/dìng
捏	to pinch (with one's fingers)/to knead/to make up	niē
淋	diseases of the bladder/to drain/to drip	lìn/lín
虹	rainbow, rainbow	hóng/jiàng
垄	monopolize	lǒng
蒸	to steam	zhēng
椎	a hammer, spine	chuí/zhuī
饥	hungry	jī
瑰	(semi-precious stone)/extraordinary	guī
莎	(insect)/(phonetic), (grass)/Cyperus rotundus	shā/suō
啡	coffee	fēi
骇	astonish/startle	hài
洒	spill/sprinkle	sǎ
芒	Miscanthus sinensis	máng
琼	(red stone)/beautiful	qióng
棚	shed	péng
喃	mumble in repetition	nán
辟	king/emperor/monarch/royal/ward off, law, dispel/open up/refute	bì/pì
鞭	a whip or lash/to flog/slash or whip	biān
恕	forgive	shù
枯	dried up	kū
撑	support/prop-up/to pole a boat/to open/to overfill	chēng
巢	nest	cháo
嗓	throat/voice	sǎng
乞	beg	qǐ
旱	drought	hàn
陕	Shaanxi	shǎn/Shǎn
娇	lovable/pampered/tender/delicate/frail	jiāo
哄	resound with laughter, deceive/coax, have a hilarious time/riot	hōng/hǒng/hòng
巷	lane/alley	xiàng
噢	Oh!	ō
滥	excessive/indiscriminate	làn
霉	bacteria/fungi/moldy	méi
浙	Zhejiang	zhè
棠	cherry-apple	táng
韵	rhyme	yùn
咕	mutter	gū
虏	take captive	lǔ
膊	shoulder/upper arm	bó
塘	pond	táng
坠	fall	zhuì
帆	sail	fān
胳	armpit	gē
栽	to force/to stick in/to plant	zāi
账	account	zhàng
宛	(surname)/similar/winding	wǎn
雌	female	cí
剪	cut with scissors/scissors	jiǎn
仑	arrange, Koulkun mountains	lún
咖	coffee	kā
歪	askew	wāi
框	frame/door frame	kuàng
脂	fat	zhī
龟	tortoise/turtle	guī
戚	ashamed/grief, (surname)/relative	qī
魄	soul	pò
窄	narrow	zhǎi
谐	harmonious	xié
稽	inspect/check, bow to the ground	jī/qǐ
屁	to break wind/to fart	pì
撰	compose/compile, compose/compile/discourse in praise	zhuàn
吏	minor official	lì
凑	assemble/put together/press near/come together	còu
滞	sluggish	zhì
逸	escape/leisurely/outstanding	yì
岭	mountain range	lǐng
姨	one's mother's sister/aunt	yí
逮	arrest/catch/seize/until, catch/seize/until	dǎi/dài
谍	to spy	dié
倦	tired	juàn
叠	fold up/repeat	dié
钦	royal	qīn
搁	to place	gē
狐	fox	hú
眨	wink	zhǎ
舟	boat	zhōu
昧	conceal/dark	mèi
跪	kneel	guì
螺	screw/snail	luó
娱	amuse	yú
壶	pot/(a measure word)	hú
菊	chrysanthemum	jú
乖	(of a child) obedient, well-behaved/clever	guāi
勋	medal/merit	xūn
溶	dissolve	róng
淘	cleanse/eliminate/to clean out/to wash	táo
僚	bureaucrat	liáo
蔡	(surname)	cài
裸	naked	luǒ
滨	shore/beach/coast/bank	bīn
郊	suburb	jiāo
砸	smash/smashed	zá
裙	skirt	qún
屠	slaughter/slaughter man	tú
薪	fuel/salary	xīn
聘	betrothed/engage (teacher)/hire	pìn
嫩	tender/soft	nèn
卸	unload/take off	xiè
衍	to spread out/to develop/to overflow/to amplify	yǎn
膨	swollen	péng
狄	(surname)/barbarians/name of a tribe	dí
豹	leopard/panther	bào
祈	implore/pray/please	qí
贞	chaste	zhēn
焰	flame	yàn
笨	stupid/foolish/silly/slow-witted/clumsy	bèn
媳	daughter in law	xí
鼎	tripod	dǐng
颂	to praise	sòng
栖	to roost/to inhabit/to stay/habitat, to roost/to inhabit/to stay/habitat	qī/xī
绑	to tie/bind or fasten together	bǎng
匪	bandit	fěi
娶	take a wife	qǔ
彪	a tiger-cat/stripes/streaks/veins	biāo
俯	look down/stoop	fǔ
咒	put a curse on	zhòu
搏	fight/combat/seize	bó
糕	cake	gāo
鸭	duck	yā
厦	tall building, tall building	shà/xià
遮	cover up (a shortcoming)/screen off/to hide/to conceal	zhē
捞	fish up	lāo
轿	sedan chair	jiào
宴	feast/repose	yàn
骚	have sex appeal	sāo
嫂	older brother's wife; sister-in-law	sǎo
泼	splash/to spill	pō
阐	to express/disclose/enlighten/open	chǎn
刮	to scrape/to blow, blow (of the wind)	guā
抄	to copy/to plagiarize/to search and seize/to go/to transcribe/to take a shortcut/to search and confiscate	chāo
耻	shame/disgrace	chǐ
鸦	crow	yā
烛	candle	zhú
辰	5th earthly branch/7-9 a.m.	chén
弊	detriment/fraud/harm/defeat	bì
爽	invigorating/straightforward/frank/open/bright/clear	shuǎng
喀	(onomat.)	kā
绢	thick but loosely woven silk	juàn
饼	round flat cake/cookie/cake/pastry	bǐng
碧	green jade/bluish green/blue/jade	bì
吁	sh/hush, implore	xū/yù
贬	to diminish/to demote/reduce or devaluate/disparage/censure/depreciate	biǎn
稣	revive	sū
翔	soar	xiáng
竖	(straight down character stroke)/to erect/vertical	shù
愧	ashamed	kuì
妮	girl/phonetic "ni" (in girl's name)	nī
耸	excite/raise up/to shrug/high/lofty/towering	sǒng
兜	pocket	dōu
姊	older sister	zǐ
掏	fish out (from pocket)	tāo
闯	to rush/break through	chuǎng
嚷	blurt out/to shout	rǎng
晰	understanding	xī
屡	time and again	lǚ/lǚ
挪	to shift/to move	nuó
桶	pail/bucket/bin/barrel	tǒng
怯	afraid/rustic	qiè
肾	kidney	shèn
萄	grapes	táo
轩	covered carriage/pavilion	xuān
倘	if	tǎng
饶	(surname)/to spare	ráo
渠	big/stream or canal/drain/ditch	qú
尉	(surname)/milit. official/to quiet	wèi
迦	Buddha/Shakyamuni	jiā
壤	soil/earth	rǎng
吩	leave instructions/to order	fēn
桓	(surname)/Sapindus mukurosi	huán
萍	duckweed	píng
棍	stick	gùn
昔	past/former	xī
咸	all/in all cases/salty, salty	xián
禅	meditation/abstraction/(Zen) Buddhism, abdicate	chán/shàn
斌	ornamental/refined	bīn
冤	injustice/to wrong	yuān
矩	carpenter's square/rule	jǔ
坑	pit/to defraud	kēng
颠	inverted/jolt/top	diān
纺	spin	fǎng
雀	lentigo, bird, bird	qiāo/qiǎo/què
摊	spread out/vendor's stand	tān
耍	play with/to juggle	shuǎ
煌	brilliant	huáng
毙	die violently	bì
垒	rampart	lěi
冻	to freeze	dòng
骄	proud/arrogant	jiāo
厨	kitchen	chú
恳	earnest	kěn
堵	stop up	dǔ
挫	be obstructed/fail/oppress/repress/lower the tone/bend back/dampen	cuò
砍	to chop	kǎn
後		hòu
腺	gland	xiàn
硕	large/big	shuò
谱	chart/list/score (music)/spectrum (math.)(phys.)	pǔ
坟	a grave	fén
崩	collapse/fall into ruins	bēng
厄	distressed	è
祷	prayer/pray/supplication	dǎo
芦	rush/reed/Phragmites communis	lú
绣	to embroider	xiù
蠢	blunt/stupid/to wiggle (of worms)/sluggish	chǔn
碑	a monument/an upright stone tablet/stele	bēi
荐	recommend (a person)	jiàn
煞	decrease/tighten, baleful/bring to a stop/very	shā/shà
菩	Bodhisattva	pú
脾	spleen	pí
颖	clever/gifted	yǐng
躁	hot-tempered/impatient	zào
轴	axis/axle, axis/axle	zhóu/zhú
嘿	hey	hēi
捐	to contribute/to donate/tax/to abandon	juān
贩	deal in/trade in/to peddle/to sell	fàn
浦	beach	pǔ
蝶	butterfly	dié
哎	an interjection/hey/lookout/why etc	āi
涅	blacken	niè
谎	lies/to lie	huǎng
伽	(phonetic)	qié/gā
郡	canton/county/region	jùn
憾	regret	hàn
咨	consult	zī
窑	kiln/oven	yáo
弦	bow string/string of mus. instr., string of mus. instr.	xián
兆	omen/million/million million, trillion	zhào
怡	harmony/pleased	yí
渗	to seep/to ooze/to horrify	shèn
蒲	calamus	pú
巩	secure/solid	gǒng
爪	claw	zhuǎ/zhǎo
姜	(surname)/ginger, ginger	jiāng
寡	few/widowed	guǎ
茅	(surname)/thatch	máo
颁	promulgate/send out/issue/to grant or confer	bān
斋	a fast/studio	zhāi
杭	(surname)/Hangzhou	háng
芝	Zoysia pungens	zhī
昭	illustrious/manifest	zhāo
浴	bath/to bathe	yù
沼	pond/pool	zhǎo
禄	good fortune/official salary	lù
捧	hold or offer with both hands	pěng
瞎	blind	xiā
坊	subdivision of a city	fāng
拐	kidnap/to turn	guǎi
杖	cane, walking stick	zhàng
圳	furrow in field, small drainage	zhèn
芯	lamp pith/core	xīn
辣	hot (spicy)/pungent	là
株	(a measure word, use with plants)/trunk of tree	zhū
舶	sea-going vessels/ship	bó
钥	key, key	yào/yuè
怔	be startled	zhēng
姚	Yao (a surname)	yáo
伞	umbrella/parasol	sǎn
绵	cotton/incessant/soft/downy	mián
掀	lift (cover)	xiān
稻	paddy/rice	dào
倡	initiate/instigate/introduce/lead/initiate	chàng
肢	limb	zhī
哇	sound of child's crying	wā/wa
渊	abyss	yuān
桩	item/stump/stake/pile	zhuāng
撕	to tear	sī
帘	wine shop sign	lián
恍	disappointed/flurried/indistinct	huǎng
讽	satirize	fèng/fěng
拓	make rubbing, expand/support on palm/to develop/to open up	tà/tuò
挽	draw/pull/send funeral ode	wǎn
镑	pound (sterling)	bàng
诈	crafty/dishonest	zhà
熙	prosperous/splendid	xī
炭	carbon/charcoal	tàn
瘤	tumor	liú
鄙	rustic/low/base/mean	bǐ
懒	lazy	lǎn
旬	ten days/ten years	xún
吼	roar (of a lion)	hǒu
擅	usurp/without authority	shàn
凄	intense cold/mournful, sorrowful	qī
厢	box (in theater)/side room	xiāng
詹	(surname)/excellent/verbose	zhān
玫	rose	méi
叉	fork/pitchfork/prong/pick/cross/intersect, to cross/be stuck, to diverge/to open (as legs)	chā/chá/chǎ
堤	dike	dī
淫	excessive/wanton/lewd/kinky/obscene	yín
锻	forge/wrought/to discipline	duàn
谭	(surname)	tán
嘲	ridicule/mock, to ridicule	cháo/zhāo
篮	basket/goal	lán
摔	throw on ground/to fall	shuāi
茂	luxuriant	mào
谬	absurd/erroneous	miù
惹	to provoke/to exasperate/to annoy	rě
陀	(phonetic)/declivity/steep bank	tuó
溪	creek, creek	qī/xī
浸	immerse/soak/steep	jìn
摧	break/destroy/devastate/ravage/repress	cuī
愣	to look distracted/to stare blankly/distracted/stupefied/blank	lèng
塌	collapse	tā
寓	reside/residence	yù
攀	climb up/pull	pān
朽	rotten	xiǔ
赚	earn/make a profit, cheat/swindle	zhuàn/zuàn
焚	burn	fén
哟	(interj) Oh, sound made when expressing surprise/(idiom) used at end of sentence as an exclamation	yo/yō
旺	prosperous/flourishing/to prosper/to flourish	wàng
葡	grapes	pú
翠	bluish-green/green jade	cuì
钧	30 catties/great/your (hon.)	jūn
湘	name of a river	xiāng
躯	human body	qū
溢	overflow	yì
蓬	(grass)/disheveled	péng
谦	modest	qiān
蚁	ant	yǐ
琳	gem	lín
厘	one thousandth	lí
痴	imbecile/sentimental/stupid/foolish/silly, imbecile/sentimental	chī
焉	where/how	yān
剖	to cut	pōu
咳	sound of sighing, cough	hāi/ké
谅	forgive	liàng
侨	emigrant/reside abroad	qiáo
鹅	goose	é
泣	to sob	qì
胶	glue/gum	jiāo
汁	juice	zhī
陡	steep	dǒu
弓	a bow (weapon)	gōng
崖	precipice	yái/yá
膝	knee	xī
阎	(surname)/gate of village	yán
晕	confused/dizzy/giddy/faint/swoon/lose consciousness/pass out, dizzy/ring around moon or sun	yūn/yùn
谴	punishment/scold	qiǎn
衔	hold in mouth, hold in mouth/nominal office	xián
谊	friendship	yì
罐	can/jar/pot	guàn
峻	steep	jùn
舅	maternal uncle	jiù
苹	marsiliaceae/clover fern, (artemisia)/duckweed, apple	pín/píng
媚	flatter/charm	mèi
逢	every time/meet by chance	féng
匙	spoon	chí/shi
沾	infected by/moisten/receive favors, moisten	zhān
隙	crack/occasion for dislike	xì
赠	give present	zèng
凰	phoenix	huáng
藤	rattan/cane	téng
衷	inner feelings	zhōng
惶	frightened	huáng
歉	apologize/deficient/to regret	qiàn
屑	crumbs/filings/worth while	xiè
猴	monkey	hóu
棒	a stick/club or cudgel/smart/capable/strong	bàng
巾	towel	jīn
哑	(onomat.), dumb/mute	yā/yǎ
夷	a barbarian	yí
涵	contain	hán
脖	neck	bó
垫	pad/cushion/mat	diàn
彰	manifest	zhāng
诡	sly/crafty	guǐ
矢	arrow/dart	shǐ
枕	pillow	zhěn
卒	abruptly/hurriedly, die/soldier	cù/zú
朦	deceive/indistinct	méng
羡	to envy	xiàn
稼	sow grain	jià
奢	extravagant	shē
丙	the third of the ten heavenly stems/the third position/third/number three	bǐng
帜	flag	zhì
蹈	tread on/trample/stamp/fulfill	dǎo
浇	to water	jiāo
庇	to protect/cover/shelter/hide or harbor	bì
嵌	deep valley/inlay	qiàn
嗽	cough	sòu
裔	descendents/frontier	yì
瞻	gaze/view	zhān
虐	oppressive/tyrannical	nuè
傍	near (approaching), near/nestle	bāng/bàng
哉	(exclamatory or interrog. part.)	zāi
藉	in disorder, by means of	jí/jiè
烤	to roast/bake/to broil	kǎo
沸	boil	fèi
廓	big/empty/open	kuò
喧	clamor/noise, clamor/noise/deceitful	xuān
辜	(surname)/crime/sin	gū
寝	lie down	qǐn
贿	bribe/bribery	huì
珊	coral	shān
幢	(measure word for houses)/tents	chuáng/zhuàng
逛	to stroll/to visit	guàng
缚	to bind/to tie	fú/fù
浆	broth/serum/to starch, starch paste	jiāng/jiàng
募	canvass for contributions/to recruit/to collect/to raise	mù
觅	seek	mì
婉	graceful/tactful	wǎn
捡	pick up/collect/gather	jiǎn
溅	splash	jiàn
聋	deaf	lóng
娟	beautiful/graceful	juān
醇	rich/pure/good wine/sterols	chún
瞄	to aim	miáo
懿	restrain/virtuous	yì
妒	jealous	dù
蓉	lotus	róng
嫉	jealousy/be jealous of	jí
伶	clever	líng
啼	mourn/to cry/hoof	tí
蕴	bring together/collect	yùn
癫	convulsions/crazy	diān
馨	fragrant	xīn
阀	clique/valve	fá
磷	phosphorus/water in rocks	lín
垣	wall	yuán
碌	laborious/small stone/to record/to tape/to write down/to hire/to employ	lù
藻	(aquatic grasses)/elegant	zǎo
挠	to scratch	náo
蔑	belittle/nothing	miè
蔓	Brassica campestris, creeper/to spread	mán/màn
奎	name of constellation/stride	kuí
呜	(onomat. for humming)	wū
禀	natural property or endowment/report to (a superior)	bǐng
牟	barley/to moo/usurp	móu
鳍	fins/supporting surfaces	qí
褐		hè
敞	spacious/uncovered	chǎng
苟	(surname)/if indeed/thoughtless	gǒu
蚕	silkworm	cán
琐	fragmentary/trifling	suǒ
撇	cast away, (downwards-left curved character stroke)/throw	piē/piě
梗	stem	gěng
碱	alkali/soda	jiǎn
荆	(surname)/thorns/brambles	jīng
蝇	fly/musca	yíng
虞	forewarned/peace/worry	yú
沪	Shanghai	hù
廖	(surname)	liào
暑	heat/hot weather/summer heat	shǔ
斧	hatchet	fǔ
骆	camel	luò
墅	villa	shù
葱	scallion/green onion	cōng
磅	a measure word/pound (unit of measurement)/scale/weigh	bàng/páng
倚	to lean on/rely upon	yǐ
俏	smart	qiào
滔	overflow/torrent-dash	tāo
禹	name of an emperor	yǔ
瑶	(jade)/Yao/mother-of-pearl	yáo
揽	monopolize/seize	lǎn
奠	libation	diàn
遏	to stop/check	è
胚	fetus	pēi
簇	crowded/frame work for silkworms/gather foliage/a measure word/bunch	cù
兮	(part.)	xī
榴	pomegranate	liú
琉	precious stone	liú
骸	bones of the body	hái
丐	beg for alms/beggar	gài
涩	grating (of surfaces)/tart/acerbic	sè
谣	popular ballad/rumor	yáo
呻	groan	shēn
枢	hinge/pivot	shū
碟	dish/plate	dié
旷	waste/wilderness	kuàng
镖	a throwing weapon/dart	biāo
藩		fān
乍	for the first time/suddenly	zhà
泳	swimming/to swim	yǒng
暮	evening/sunset	mù
茎	stalk/stem	jīng
坪	a plain	píng
凿	chisel, chisel	záo/zuò
澜	swelling water	lán
耽	indulge/delay	dān
痒	to itch/to tickle	yǎng
搂	graft (money)/solicit/to gather/to collect, to hug/to embrace	lōu/lǒu
潭	(surname)/deep	tán
勿	do not	wù
匀	even/evenly (divided)/uniform	yún
凳	bench/stool	dèng
虔	devout	qián
焕	brilliant/lustrous	huàn
桐	Aleurites cordata	tóng
棕	palm	zōng
缕	state in detail/strand/thread	lǚ/lǚ
缆	cable/hawser	làn/lǎn
晒	to sun	shài
蛙	frog	wā
蜡	candle/wax	là
愕	startled	è
陋	low/humble/plain/ugly/mean/vulgar	lòu
樱	cherry	yīng
竿	pole	gān
铅	lead (metal)	qiān
毋	no/not	wú
咚	boom (of a drum)	dōng
歹	bad/wicked/evil	dǎi
躬	body/oneself/personally/to bow	gōng
倏	sudden/abrupt	shū
嗡	Err:508	wēng
绸	(light) silk	chóu
喇	(onomat.), (phonetic)	lā/lǎ
茵	Skimmia japonica/cushion	yīn
厕	rest-room/toilet/lavatory	cè
堕	degenerate/fall	duò
拣	choose/pick up	jiǎn
哮	pant/roar/bark (of animals)	xiāo
黛	umber-black dye for painting the eyebrow	dài
炒	saute/pan-fry/to fry/fried	chǎo
笛	flute	dí
涡	name of a river, eddy/whirlpool	guō/wō
簿	a book/a register/account-book	bù
